,â°ïl
DATE,ïΩãœãCâ∑(Åé)
,
2021/1/1,6
2021/1/2,6.5
2021/1/3,5
2021/1/4,6.7
2021/1/5,6.9
2021/1/6,6
2021/1/7,6.7
2021/1/8,3.6
2021/1/9,3.4
2021/1/10,3.6
2021/1/11,3.4
2021/1/12,3.7
2021/1/13,6.6
2021/1/14,8.7
2021/1/15,7.2
2021/1/16,10.7
2021/1/17,6.8
2021/1/18,5.4
2021/1/19,5
2021/1/20,4.5
2021/1/21,5.7
2021/1/22,8.8
2021/1/23,7
2021/1/24,4.9
2021/1/25,8.6
2021/1/26,8
2021/1/27,9.6
2021/1/28,5.2
2021/1/29,6.3
2021/1/30,4.9
2021/1/31,6.2
2021/2/1,8.1
2021/2/2,10.8
2021/2/3,7.1
2021/2/4,7.7
2021/2/5,7.5
2021/2/6,9.2
2021/2/7,10.7
2021/2/8,6.7
2021/2/9,4.9
2021/2/10,6.8
2021/2/11,9
2021/2/12,8.5
2021/2/13,11.2
2021/2/14,13.2
2021/2/15,12.9
2021/2/16,11
2021/2/17,8.1
2021/2/18,4.5
2021/2/19,7.2
2021/2/20,11.4
2021/2/21,15.8
2021/2/22,15.8
2021/2/23,11.8
2021/2/24,6.7
2021/2/25,7.1
2021/2/26,8.9
2021/2/27,6.3
2021/2/28,7.2
2021/3/1,12.6
2021/3/2,14.6
2021/3/3,7.7
2021/3/4,9.4
2021/3/5,12.1
2021/3/6,13.3
2021/3/7,8
2021/3/8,7.1
2021/3/9,9.8
2021/3/10,12.5
2021/3/11,10.8
2021/3/12,12.4
2021/3/13,11.1
2021/3/14,13.1
2021/3/15,13
2021/3/16,15.9
2021/3/17,14.1
2021/3/18,12.5
2021/3/19,13.2
2021/3/20,14.6
2021/3/21,17.8
2021/3/22,13
2021/3/23,11.2
2021/3/24,14.3
2021/3/25,14.7
2021/3/26,14.4
2021/3/27,14
2021/3/28,16.9
2021/3/29,17.7
2021/3/30,18.1
2021/3/31,17.9
2021/4/1,16.8
2021/4/2,16.4
2021/4/3,17.2
2021/4/4,17.8
2021/4/5,14.1
2021/4/6,11.2
2021/4/7,13.3
