,â°ïl
îNåéì˙,ïΩãœéºìx(Åì)
,
2021/1/1,42
2021/1/2,53
2021/1/3,51
2021/1/4,53
2021/1/5,61
2021/1/6,71
2021/1/7,45
2021/1/8,36
2021/1/9,31
2021/1/10,37
2021/1/11,45
2021/1/12,65
2021/1/13,63
2021/1/14,56
2021/1/15,65
2021/1/16,61
2021/1/17,50
2021/1/18,60
2021/1/19,41
2021/1/20,42
2021/1/21,53
2021/1/22,49
2021/1/23,83
2021/1/24,93
2021/1/25,71
2021/1/26,67
2021/1/27,74
2021/1/28,74
2021/1/29,51
2021/1/30,36
2021/1/31,42
2021/2/1,54
2021/2/2,67
2021/2/3,43
2021/2/4,41
2021/2/5,53
2021/2/6,56
2021/2/7,50
2021/2/8,41
2021/2/9,35
2021/2/10,49
2021/2/11,44
2021/2/12,56
2021/2/13,61
2021/2/14,61
2021/2/15,87
2021/2/16,42
2021/2/17,32
2021/2/18,33
2021/2/19,41
2021/2/20,45
2021/2/21,48
2021/2/22,46
2021/2/23,38
2021/2/24,34
2021/2/25,45
2021/2/26,43
2021/2/27,37
2021/2/28,53
2021/3/1,62
2021/3/2,80
2021/3/3,43
2021/3/4,59
2021/3/5,75
2021/3/6,73
2021/3/7,59
2021/3/8,85
2021/3/9,71
2021/3/10,45
2021/3/11,50
2021/3/12,65
2021/3/13,92
2021/3/14,48
2021/3/15,38
2021/3/16,47
2021/3/17,38
2021/3/18,51
2021/3/19,61
2021/3/20,65
2021/3/21,91
2021/3/22,48
2021/3/23,45
2021/3/24,59
2021/3/25,73
2021/3/26,49
2021/3/27,51
2021/3/28,77
2021/3/29,78
2021/3/30,75
2021/3/31,57
2021/4/1,63
2021/4/2,63
2021/4/3,61
2021/4/4,79
2021/4/5,84
2021/4/6,62
2021/4/7,60
2021/4/8,55
2021/4/9,48
2021/4/10,42
2021/4/11,55
2021/4/12,58
2021/4/13,82
2021/4/14,95
2021/4/15,51
2021/4/16,62
2021/4/17,81
2021/4/18,49
2021/4/19,43
2021/4/20,54
2021/4/21,48
2021/4/22,39
2021/4/23,53
2021/4/24,57
2021/4/25,57
2021/4/26,37
2021/4/27,54
2021/4/28,61
2021/4/29,90
2021/4/30,64
2021/5/1,74
2021/5/2,53
2021/5/3,45
2021/5/4,45
2021/5/5,69
2021/5/6,80
2021/5/7,83
2021/5/8,70
2021/5/9,57
2021/5/10,46
2021/5/11,58
2021/5/12,61
2021/5/13,97
2021/5/14,81
2021/5/15,73
2021/5/16,82
2021/5/17,91
2021/5/18,84
2021/5/19,98
2021/5/20,93
2021/5/21,92
2021/5/22,79
2021/5/23,76
2021/5/24,67
2021/5/25,65
2021/5/26,62
2021/5/27,92
2021/5/28,75
2021/5/29,66
2021/5/30,70
2021/5/31,64
2021/6/1,74
2021/6/2,68
2021/6/3,71
2021/6/4,95
2021/6/5,78
2021/6/6,81
2021/6/7,75
2021/6/8,66
2021/6/9,59
2021/6/10,70
2021/6/11,69
2021/6/12,70
2021/6/13,65
2021/6/14,82
2021/6/15,74
2021/6/16,88
2021/6/17,78
2021/6/18,69
2021/6/19,92
2021/6/20,
2021/6/21,72
2021/6/22,73
2021/6/23,73
2021/6/24,79
2021/6/25,76
2021/6/26,71
2021/6/27,78
2021/6/28,74
2021/6/29,86
2021/6/30,88
2021/7/1,96
2021/7/2,99
2021/7/3,94
2021/7/4,98
2021/7/5,95
2021/7/6,89
2021/7/7,87
2021/7/8,94
2021/7/9,97
2021/7/10,81
2021/7/11,82
2021/7/12,80
2021/7/13,85
2021/7/14,83
2021/7/15,80
2021/7/16,76
2021/7/17,74
2021/7/18,78
2021/7/19,77
2021/7/20,74
2021/7/21,71
2021/7/22,71
2021/7/23,72
2021/7/24,70
2021/7/25,69
2021/7/26,67
2021/7/27,80
2021/7/28,76
2021/7/29,76
2021/7/30,82
2021/7/31,77
2021/8/1,73
2021/8/2,78
2021/8/3,80
2021/8/4,77
2021/8/5,73
2021/8/6,74
2021/8/7,86
2021/8/8,90
2021/8/9,80
2021/8/10,59
2021/8/11,65
2021/8/12,85
2021/8/13,93
2021/8/14,94
2021/8/15,99
2021/8/16,97
2021/8/17,92
2021/8/18,83
2021/8/19,78
2021/8/20,73
2021/8/21,79
2021/8/22,77
2021/8/23,79
2021/8/24,79
2021/8/25,74
2021/8/26,74
2021/8/27,77
2021/8/28,74
2021/8/29,73
2021/8/30,77
2021/8/31,71
2021/9/1,87
2021/9/2,97
2021/9/3,97
2021/9/4,95
2021/9/5,85
2021/9/6,83
2021/9/7,70
2021/9/8,81
2021/9/9,95
2021/9/10,81
2021/9/11,87
2021/9/12,90
2021/9/13,72
2021/9/14,84
2021/9/15,80
2021/9/16,72
2021/9/17,78
2021/9/18,94
2021/9/19,71
2021/9/20,67
2021/9/21,74
2021/9/22,83
2021/9/23,65
2021/9/24,64
2021/9/25,75
2021/9/26,73
2021/9/27,73
2021/9/28,71
2021/9/29,76
2021/9/30,83
2021/10/1,89
2021/10/2,78
2021/10/3,73
2021/10/4,73
2021/10/5,72
2021/10/6,73
2021/10/7,81
2021/10/8,77
2021/10/9,80
2021/10/10,84
2021/10/11,80
2021/10/12,88
2021/10/13,91
2021/10/14,80
2021/10/15,76
2021/10/16,88
2021/10/17,78
2021/10/18,54
2021/10/19,71
2021/10/20,62
2021/10/21,51
2021/10/22,88
2021/10/23,61
2021/10/24,56
2021/10/25,67
2021/10/26,81
2021/10/27,88
2021/10/28,66
2021/10/29,51
2021/10/30,61
2021/10/31,75
2021/11/1,79
2021/11/2,76
2021/11/3,58
2021/11/4,55
2021/11/5,59
2021/11/6,62
2021/11/7,73
2021/11/8,78
2021/11/9,98
2021/11/10,56
2021/11/11,45
2021/11/12,43
2021/11/13,56
2021/11/14,60
2021/11/15,55
2021/11/16,65
2021/11/17,59
2021/11/18,70
2021/11/19,71
2021/11/20,67
2021/11/21,81
2021/11/22,95
2021/11/23,54
2021/11/24,51
2021/11/25,52
2021/11/26,56
2021/11/27,45
2021/11/28,45
2021/11/29,60
2021/11/30,72
2021/12/1,66
2021/12/2,46
2021/12/3,52
2021/12/4,54
2021/12/5,51
2021/12/6,64
2021/12/7,82
2021/12/8,85
2021/12/9,62
2021/12/10,64
2021/12/11,67
2021/12/12,64
2021/12/13,46
2021/12/14,71
2021/12/15,66
2021/12/16,63
2021/12/17,73
2021/12/18,36
2021/12/19,49
2021/12/20,58
2021/12/21,63
2021/12/22,49
2021/12/23,39
2021/12/24,58
2021/12/25,69
2021/12/26,39
2021/12/27,37
2021/12/28,45
2021/12/29,53
2021/12/30,52
2021/12/31,52
