2021/4/1 18:10 UPDATE

DATE,TIME,曜日,実績(万kW),ピーク時供給力,使用率,使用率ピーク時時間帯,使用率ピーク時需要電力,使用率ピーク時供給力,使用率ピーク時使用率
2020/1/1,20:00,3,3107,3704,83,20:00,3107,3704,83
2020/1/2,19:00,4,3196,3852,82,19:00,3196,3852,82
2020/1/3,19:00,5,3263,3892,83,19:00,3263,3892,83
2020/1/4,18:00,6,3486,4286,81,17:00,3441,4215,81
2020/1/5,19:00,0,3778,4682,80,19:00,3778,4682,80
2020/1/6,9:00,1,4201,5594,75,17:00,4177,4993,83
2020/1/7,17:00,2,4501,5094,88,17:00,4501,5094,88
2020/1/8,9:00,3,4653,5287,88,9:00,4653,5287,88
2020/1/9,17:00,4,4090,4980,82,17:00,4090,4980,82
2020/1/10,9:00,5,4127,5371,76,17:00,4124,4866,84
2020/1/11,9:00,6,4001,4708,84,9:00,4001,4708,84
2020/1/12,18:00,0,3796,4622,82,18:00,3796,4622,82
2020/1/13,18:00,1,3812,4697,81,18:00,3812,4697,81
2020/1/14,17:00,2,4131,4994,82,17:00,4131,4994,82
2020/1/15,9:00,3,4414,5309,83,18:00,4274,5054,84
2020/1/16,17:00,4,4332,5052,85,17:00,4332,5052,85
2020/1/17,9:00,5,4559,5404,84,17:00,4286,5054,84
2020/1/18,10:00,6,4448,5112,87,17:00,4418,4856,90
2020/1/19,18:00,0,3855,4837,79,18:00,3855,4837,79
2020/1/20,9:00,1,4240,5434,78,18:00,4149,5001,82
2020/1/21,18:00,2,4362,5235,83,18:00,4362,5235,83
2020/1/22,9:00,3,4735,5382,87,9:00,4735,5382,87
2020/1/23,9:00,4,4727,5252,90,9:00,4727,5252,90
2020/1/24,9:00,5,4222,5626,75,17:00,3999,5187,77
2020/1/25,18:00,6,3865,4809,80,18:00,3865,4809,80
2020/1/26,18:00,0,3997,5041,79,18:00,3997,5041,79
2020/1/27,9:00,1,4764,5549,85,17:00,4705,5464,86
2020/1/28,9:00,2,5042,5749,87,9:00,5042,5749,87
2020/1/29,9:00,3,4085,5275,77,8:00,4053,5187,78
2020/1/30,18:00,4,3777,4604,82,18:00,3777,4604,82
2020/1/31,18:00,5,4151,4740,87,18:00,4151,4740,87
2020/2/1,18:00,6,3766,4510,83,18:00,3766,4510,83
2020/2/2,19:00,0,3669,4745,77,17:00,3495,4465,78
2020/2/3,9:00,1,4056,5243,77,8:00,4009,5035,79
2020/2/4,18:00,2,4165,4918,84,18:00,4165,4918,84
2020/2/5,18:00,3,4151,4934,84,18:00,4151,4934,84
2020/2/6,18:00,4,4852,5393,89,18:00,4852,5393,89
2020/2/7,9:00,5,4756,5673,83,17:00,4522,5074,89
2020/2/8,8:00,6,3937,4942,79,18:00,3901,4634,84
2020/2/9,19:00,0,4141,4830,85,19:00,4141,4830,85
2020/2/10,9:00,1,4630,5317,87,8:00,4576,5202,87
2020/2/11,18:00,2,4110,4851,84,18:00,4110,4851,84
2020/2/12,9:00,3,4303,5452,78,7:00,4075,4875,83
2020/2/13,9:00,4,4122,5112,80,9:00,4122,5112,80
2020/2/14,9:00,5,3831,4765,80,14:00,3617,4418,81
2020/2/15,18:00,6,3432,4278,80,18:00,3432,4278,80
2020/2/16,18:00,0,3609,4260,84,18:00,3609,4260,84
2020/2/17,18:00,1,3919,4658,84,18:00,3919,4658,84
2020/2/18,18:00,2,4096,4764,85,18:00,4096,4764,85
2020/2/19,18:00,3,4010,4766,84,18:00,4010,4766,84
2020/2/20,9:00,4,4016,5105,78,18:00,4008,4746,84
2020/2/21,18:00,5,3807,4576,83,18:00,3807,4576,83
2020/2/22,9:00,6,3379,4508,74,18:00,3378,4252,79
